chrom	start	end	hit_type	alt_hit_type	hits	alt_hits	pair_prop	alt_prop	pair_totprop	pair_totgoodprop	pair_totcloseprop	winsize	winstep	pair_fpkm	alt_fpkm	pair_prop_fpkm	alt_prop_fpkm	
2L	3000000	3100000	paired	self	1	122	0.0081300813	0.99186992	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.73904457	0.0081300813	0.99186992
2L	3010000	3110000	paired	self	1	122	0.0081300813	0.99186992	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.73904457	0.0081300813	0.99186992
2L	3020000	3120000	paired	self	1	122	0.0081300813	0.99186992	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.73904457	0.0081300813	0.99186992
2L	3030000	3130000	paired	self	1	122	0.0081300813	0.99186992	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.73904457	0.0081300813	0.99186992
2L	3040000	3140000	paired	self	1	122	0.0081300813	0.99186992	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.73904457	0.0081300813	0.99186992
2L	3050000	3150000	paired	self	1	122	0.0081300813	0.99186992	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.73904457	0.0081300813	0.99186992
2L	3060000	3160000	paired	self	1	122	0.0081300813	0.99186992	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.73904457	0.0081300813	0.99186992
2L	3070000	3170000	paired	self	1	122	0.0081300813	0.99186992	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.73904457	0.0081300813	0.99186992
2L	3080000	3180000	paired	self	1	122	0.0081300813	0.99186992	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.73904457	0.0081300813	0.99186992
2L	3090000	3190000	paired	self	1	122	0.0081300813	0.99186992	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.73904457	0.0081300813	0.99186992
2L	3500000	3600000	paired	self	1	120	0.0082644628	0.99173554	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72692909	0.0082644628	0.99173554
2L	3510000	3610000	paired	self	1	120	0.0082644628	0.99173554	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72692909	0.0082644628	0.99173554
2L	3520000	3620000	paired	self	1	120	0.0082644628	0.99173554	1.0003101e-05	1.2076711e-05	1.2103607e-05	100000	10000	0.0060577424	0.72692909	0.0082644628	0.99173554
